,City,Place,Rating_mean,Rating_count,slug
0,Abhaneri,Chand Baori (Step well),4.248331108144193,749,abhaneri
1,Abhaneri,Harshat Mata Temple,3.915254237288136,118,abhaneri
2,Acharapakkam,Achirupakkam,2.0,1,acharapakkam
3,Acharapakkam,Mazhai Malai Madha Shrine,5.0,1,acharapakkam
4,Achooranam,Wayanad Tea Museum,4.136363636363637,44,achooranam
5,Achrol,Moto Sport Park,4.823529411764706,34,achrol
6,Adilabad,Basar Saraswati Temple,4.080459770114943,87,adilabad
7,Adilabad,Fun Park,5.0,1,adilabad
8,Adilabad,Gudem Satyanarayana Swamy Temple,5.0,2,adilabad
9,Adilabad,Jainath Temple,3.8333333333333335,6,adilabad
10,Adilabad,Kadam Dam,4.526315789473684,19,adilabad
11,Adilabad,Kadile Papahareshwar Temple,5.0,2,adilabad
12,Adilabad,Kalwa Narsimha Swamy Temple,4.666666666666667,3,adilabad
13,Adilabad,Kawal Wildlife Sanctuary,3.857142857142857,14,adilabad
14,Adilabad,Kuntala Waterfall,4.056338028169014,71,adilabad
15,Adilabad,Pochera Waterfalls,4.363636363636363,22,adilabad
16,Adilabad,Pranahita Wildlife Sanctuary,4.75,4,adilabad
17,Adilabad,Saptha Kund,5.0,3,adilabad
18,Adilabad,Sathnala Dam,4.6,5,adilabad
19,Adilabad,Sivaram Wildlife Sanctuary,4.333333333333333,3,adilabad
20,Adimaly,Indian Spices & Herbal Garden,3.1818181818181817,11,adimaly
21,Adipur,Gandhi Samadhi,4.375,8,adipur
22,Adipur,Sant Lilashah Kutiya,4.0,5,adipur
23,Adipur,Somaiya Kala Vidya,4.294117647058823,17,adipur
24,Adoni,Adoni Fort,4.2,5,adoni
25,Adoor,Mannadi Devi Temple,4.0,2,adoor
26,Adoor,Trichennamangalam Mahadevar Temple,4.4,5,adoor
27,Agartala,Baramura Eco Park,5.0,1,agartala
28,Agartala,Benu Ban Bihari Temple,4.5,2,agartala
29,Agartala,Benuban Vihar,4.0,2,agartala
30,Agartala,Chowda Devta Temple,3.5,4,agartala
31,Agartala,Domboor Lake,4.5,4,agartala
32,Agartala,Dumboor Lake,4.5,4,agartala
33,Agartala,Fourteen Goddess Temple,4.125,24,agartala
34,Agartala,Gedu Miar Maszid,3.8,5,agartala
35,Agartala,Gedumian Mosque,4.0,2,agartala
36,Agartala,Gondacherra Wildlife Sanctuary,4.25,4,agartala
37,Agartala,Haveli Museum,3.8333333333333335,6,agartala
38,Agartala,Heritage Park,4.5,48,agartala
39,Agartala,ISKCON Temple,4.6,5,agartala
40,Agartala,"ISKCON, Math Chowmuhani",4.375,8,agartala
41,Agartala,Jagannath Temple,4.129032258064516,31,agartala
42,Agartala,Jampui Hill,4.125,16,agartala
43,Agartala,Kalapania Nature Park,4.6,5,agartala
44,Agartala,Kalibari Temple,3.875,8,agartala
45,Agartala,Kalyan Sagar Lake,4.125,16,agartala
46,Agartala,Kamala Sagar,3.625,8,agartala
47,Agartala,Kamaleswari Temple,4.09375,32,agartala
48,Agartala,Kunjaban Palace,2.75,4,agartala
49,Agartala,Malancha Niwas,3.5,8,agartala
50,Agartala,Neermahal Palace,4.070422535211268,142,agartala
51,Agartala,Nehru Park,4.444444444444445,9,agartala
52,Agartala,Ram Thakur's Ashram,4.0,1,agartala
53,Agartala,Ramkrishna Mission,4.0,4,agartala
54,Agartala,Ravindra Kanan,4.5,8,agartala
55,Agartala,Rose Valley Amusement Park,4.5,10,agartala
56,Agartala,Rudrasagar Lake,4.2,15,agartala
57,Agartala,Sepahijala Wild Life Sanctuary,4.190476190476191,42,agartala
58,Agartala,Sipahijala Wildlife Sanctuary,4.04,50,agartala
59,Agartala,Sukanta Academy,4.75,4,agartala
60,Agartala,Tripura Government Museum,4.014705882352941,68,agartala
61,Agartala,Tripura State Tribal Museum,4.2,5,agartala
62,Agartala,Trishna Wildlife Sanctuary,3.75,8,agartala
63,Agartala,Ujjayanta Palace,4.246666666666667,150,agartala
64,Agartala,Umamaheswar Temple,3.5,4,agartala
65,Agartala,Ummaneshwar Temple,4.0,2,agartala
66,Agartala,Unakoti,4.022988505747127,87,agartala
67,Agartala,Venuban Vihar Buddha Shrine,4.6,10,agartala
68,Agatti,Island of Thinnakara,4.183673469387755,49,agatti
69,Agatti,Lakshadweep Tour Package - Day Tours,4.315789473684211,19,agatti
70,Agatti,Lakshadweep Yathra Holidays,4.0,2,agatti
71,Agonda,AUGUSTIN Studio & Gallery,5.0,5,agonda
72,Agonda,Agonda Beach,4.6306355241716455,1841,agonda
73,Agonda,Aloha Surf India,4.833333333333333,12,agonda
74,Agonda,Animal Shelter Agonda,4.7317073170731705,82,agonda
75,Agonda,Bio Veda Ayurvedic Beach Resort Spa,4.266666666666667,15,agonda
76,Agonda,Chapoli Dam,4.153846153846154,13,agonda
77,Agonda,Fluidsymmetry,4.593220338983051,59,agonda
78,Agonda,Galgibaga Beach,4.488372093023256,129,agonda
79,Agonda,Go Kayak,5.0,2,agonda
80,Agonda,Krishna Ayurveda Massage Centre,4.63302752293578,109,agonda
81,Agonda,Om Ayurvedic Massage Center,4.7407407407407405,27,agonda
82,Agonda,Partagal Matha Temple,4.0,7,agonda
83,Agonda,PetraVeda,5.0,6,agonda
84,Agonda,Purnam Yoga Teacher Training in Goa,5.0,2,agonda
85,Agonda,Rock Formations,4.55,60,agonda
86,Agonda,Saint Anna Taxi and Tours,4.5,10,agonda
87,Agonda,Yoga Leela Agonda Rama Yoga Center,4.166666666666667,6,agonda
88,Agra,Agra Art Gallery,4.279569892473118,93,agra
89,Agra,Agra Fort,4.29953325554259,8570,agra
90,Agra,Agra Fort Railway Station,3.0,1,agra
91,Agra,Anguri Bagh,4.1835443037974684,158,agra
92,Agra,Army School,4.5,2,agra
93,Agra,Ashok Cosmos Mall,3.4,5,agra
94,Agra,Bageshwarnath Temple,4.5,8,agra
95,Agra,Balkeshwar Mandir,4.0,7,agra
96,Agra,Bateshwar Temples,4.0,8,agra
97,Agra,CR Mall,3.5,2,agra
98,Agra,Chhatri of Raja Jaswant Singh,5.0,1,agra
99,Agra,Chini Ka Rauza,3.583333333333333,12,agra
100,Agra,Chini Ka Rauza Mausoleum,3.764705882352941,51,agra
101,Agra,Dakhini Darwaza,4.0,9,agra
102,Agra,Dayal Bagh,4.25,156,agra
103,Agra,Dhakri-Ka-Mahal,4.5,2,agra
104,Agra,Diwan E Aam,3.8333333333333335,6,agra
105,Agra,Diwan-i-Am Agra Fort,4.011560693641618,173,agra
106,Agra,Dolphin The Water World,3.5,18,agra
107,Agra,Dr. B. R. Ambedkar University,4.0,3,agra
108,Agra,Gurudwara Guru ka Tal,4.43298969072165,97,agra
109,Agra,Gyarah Sidi,3.0,1,agra
110,Agra,Jahangir Mahal,4.034188034188034,117,agra
111,Agra,Jain Muni Samadhi Stahl,5.0,1,agra
112,Agra,Jama Masjid,4.040302267002519,397,agra
113,Agra,Jaswant ki Chatri,3.0,2,agra
114,Agra,Jawab Masjid,4.048192771084337,166,agra
115,Agra,Kailash Temple,4.0,5,agra
116,Agra,Kalakriti Cultural & Convention Center,4.355633802816901,284,agra
117,Agra,Keetham Lake,4.095238095238095,21,agra
118,Agra,Korai Village Agra,4.514285714285714,35,agra
